basin,site_id,campaign,latitude,longitude,date,time,depth,turbidity,SD_turbidity,salinity,SD_salinity,temperature,SD_temperature,chlorophyll_a_fluorescence,SD_chlorophyll_a_fluorescence
Terrebonne,TB_0814_S1,Fall 2021,29.34149333,-90.88568298,2021-08-14,14:49:50,0.5,6.64,0.14,0.81,0,28.98,0.03,6.7,0.21
Terrebonne,TB_0814_S2,Fall 2021,29.3080689,-90.93848341,2021-08-14,15:45:15,0.5,5.34,0.02,0.79,0,29.66,0.01,2.87,0.08
Terrebonne,TB_0814_S3,Fall 2021,29.25696989,-90.93225135,2021-08-14,16:26:43,0.5,9.42,0.16,5.33,0.2,29.95,0.04,4.17,0.4
Terrebonne,TB_0814_S4,Fall 2021,29.17703795,-90.96246636,2021-08-14,17:44:47,0.5,9.67,0.68,12.2,0.25,30.31,0.03,3.87,0.24
Terrebonne,TB_0814_S5,Fall 2021,29.20020582,-90.95671849,2021-08-14,18:19:34,0.5,6.97,0.29,10.13,0.27,30.87,0.11,2.75,0.77
Terrebonne,TB_0814_S6,Fall 2021,29.2138913,-90.95328974,2021-08-14,18:59:22,0.5,8.18,1.19,8.08,0.18,31.15,0.06,3.21,0.33
Terrebonne,TB_0823_S1,Fall 2021,29.17185713,-90.82488208,2021-08-23,13:56:51,0.5,8,-9999,15.61,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0823_S2,Fall 2021,29.14924708,-90.81534,2021-08-23,14:28:34,0.5,6.6,-9999,18.5,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0823_S3,Fall 2021,29.16064,-90.82516476,2021-08-23,14:54:08,0.5,8.5,-9999,17,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0823_S4,Fall 2021,29.22856077,-90.82372,2021-08-23,15:42:23,0.5,8.4,-9999,11.56,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0823_S5,Fall 2021,29.34729143,-90.9498,2021-08-23,16:44:04,0.5,6.1,-9999,2.4,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0824_S1,Fall 2021,29.3442,-90.88505,2021-08-24,15:53:03,0.5,7.82,-9999,2.25,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0824_S2,Fall 2021,29.3286,-90.8932,2021-08-24,16:24:59,0.5,6.94,-9999,3.07,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0824_S3,Fall 2021,29.2928,-90.8939,2021-08-24,18:11:42,0.5,7.8,-9999,5.24,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0824_S4,Fall 2021,29.2726,-90.8976,2021-08-24,18:28:45,0.5,10.7,-9999,6.69,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0825_S1,Fall 2021,29.29325845,-91.10166836,2021-08-25,13:35:52,0.5,11.13,-9999,4.55,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0825_S2,Fall 2021,29.264581,-91.135596,2021-08-25,14:18:13,0.5,13.57,-9999,4.79,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0825_S3,Fall 2021,29.24109842,-91.12239895,2021-08-25,14:58:18,0.5,21.6,-9999,11.37,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0825_S4,Fall 2021,29.24485462,-91.10725077,2021-08-25,15:43:46,0.5,17.6,-9999,12.95,-9999,30,-9999,-9999,-9999
Terrebonne,TB_0913_S1,Fall 2021,29.17182314,-90.82497,2021-09-13,14:50:00,0.5,11.99,0.17,15.68,0.02,26.43,0.01,2.42,0.05
Terrebonne,TB_0913_S2,Fall 2021,29.13347972,-90.84594887,2021-09-13,15:32:10,0.5,30.34,1.38,18.35,0.01,26.63,0.03,3.12,0.1
Terrebonne,TB_0913_S3,Fall 2021,29.11849342,-90.87184303,2021-09-13,15:56:51,0.5,54.84,3.04,19.83,0.01,26.88,0.01,3.29,0.03
Terrebonne,TB_0913_S4,Fall 2021,29.10305264,-90.81626389,2021-09-13,17:01:46,0.5,30.58,0.4,20.62,0.01,27.39,0.01,3.08,0.03
Terrebonne,TB_0913_S5,Fall 2021,29.21361855,-90.81392377,2021-09-13,17:45:50,0.5,18.37,0.33,10.72,0.02,27.42,0.01,3.87,0.03
Terrebonne,TB_0913_S6,Fall 2021,29.24814885,-90.89491179,2021-09-13,18:02:45,0.5,18.05,0.12,8.68,0.02,27.55,0.01,4.03,0.05
Terrebonne,TB_0919_S1,Fall 2021,29.3004,-91.10546,2021-09-19,14:12:53,0.5,18.3,0.14,4.57,0.01,27.8,0.02,2.78,0.09
