basin,site_id,campaign,latitude,longitude,date,time,depth,turbidity,SD_turbidity,salinity,SD_salinity,temperature,SD_temperature,chlorophyll_a_fluorescence,SD_chlorophyll_a_fluorescence
Terrebonne,TB_0405_D1,Spring 2021,29.262435,-90.935865,2021-04-05,20:34:00,0.5,21.73,0.06,7.28,0.01,20.44,0,2.56,0
Terrebonne,TB_0405_S1,Spring 2021,29.34331214,-90.885895,2021-04-05,15:30:00,0.5,10.28,0.1,2.15,0,19.94,0,1.36,0.03
Terrebonne,TB_0405_S2,Spring 2021,29.25878246,-90.92892877,2021-04-05,17:15:00,0.5,21.68,0.56,4.38,0,19.28,0,2.33,0.24
Terrebonne,TB_0405_S3,Spring 2021,29.13352458,-90.83352976,2021-04-05,18:15:00,0.5,9.88,1.27,20.05,0.06,19.92,0.16,1.15,0.06
Terrebonne,TB_0405_S4,Spring 2021,29.17079456,-90.82544647,2021-04-05,19:18:00,0.5,9.42,0.21,16.25,0.05,21.33,0.05,1.09,0.08
Terrebonne,TB_0406_D1,Spring 2021,29.293538,-91.101512,2021-04-06,16:05:00,0.5,23.22,0.06,1.11,0,19.94,0,2.13,0.03
Terrebonne,TB_0406_S1,Spring 2021,29.33593375,-91.1575775,2021-04-06,14:48:00,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Terrebonne,TB_0406_S2,Spring 2021,29.293538,-91.101512,2021-04-06,16:05:00,0.5,23.22,0.06,1.11,0,19.94,0,2.13,0.03
Terrebonne,TB_0406_S3,Spring 2021,29.33819652,-91.03207145,2021-04-06,17:08:00,0.5,13.37,0.18,0.42,0,20.58,0.03,2.19,0.04
Terrebonne,TB_0408_S1,Spring 2021,29.34147588,-90.88569353,2021-04-08,17:10:00,0.5,13.69,0.12,1.9,0,24.1,0.02,2.28,0.04
Terrebonne,TB_0408_S2,Spring 2021,29.32768368,-90.90102825,2021-04-08,18:09:00,0.5,11.98,0.16,2.14,0,23.83,0.02,3.84,0.34
Terrebonne,TB_0409_B1,Spring 2021,29.3275436,-90.7286448,2021-04-09,19:21:00,0.5,25.28,0.77,0.27,0,22.33,0,1.32,0.03
Terrebonne,TB_0409_S2,Spring 2021,29.17061305,-90.82365517,2021-04-09,16:29:00,0.5,38.21,10.95,17.99,1.89,25.17,0.04,2.68,0.25
Terrebonne,TB_0409_S3,Spring 2021,29.19663,-90.86006833,2021-04-09,17:15:00,0.5,12.89,0.09,17.61,0,24.97,0.03,2.4,0.1
Terrebonne,TB_0409_S4,Spring 2021,29.21258053,-90.81295789,2021-04-09,18:24:00,0.5,16.2,1.03,15.23,0.02,25.37,0.03,3.07,0.03
Terrebonne,TB_0409_S5,Spring 2021,29.25332593,-90.77130256,2021-04-09,18:48:00,0.5,16.33,0.59,7.74,0.01,26.03,0.06,3.02,0.15
Terrebonne,TB_0411_B1,Spring 2021,29.30023529,-91.10563659,2021-04-11,14:37:00,0.5,17.37,1.01,2.38,0,22.71,0.02,5.19,0.31
Terrebonne,TB_0411_B2,Spring 2021,29.2979115,-91.11553821,2021-04-11,15:46:00,0.5,6.42,0.18,3.37,0,23.04,0.03,3.66,0.39
Terrebonne,TB_0411_B4,Spring 2021,29.30409,-91.10423021,2021-04-11,16:58:00,0.5,24.54,2.57,2.15,0,25.32,0.06,5.56,1.07
Terrebonne,TB_0411_S1,Spring 2021,29.29855,-91.10091,2021-04-11,18:29:00,0.5,19.23,0.12,2.73,0,24.33,0,5.1,0.06
Terrebonne,TB_0411_S2,Spring 2021,29.36962771,-91.22484443,2021-04-11,19:20:00,0.5,50.83,0.9,0.22,0.01,24.8,0.86,2.25,0.25
Terrebonne,TB_0411_S3,Spring 2021,29.296565,-91.02634,2021-04-11,20:20:00,0.5,28.48,1.63,1.22,0,24.66,0.08,3,0.51
Terrebonne,TB_0411_S4,Spring 2021,29.27719647,-90.98287647,2021-04-11,20:44:00,0.5,15.92,0.67,5.02,0.01,25.65,0.23,2.97,0.2
Terrebonne,TB_0412_B1,Spring 2021,29.40093855,-90.88853797,2021-04-12,13:16:00,0.5,15.96,0.24,0.28,0,23.32,0.02,1.89,0.02
Terrebonne,TB_0412_S1,Spring 2021,29.41400843,-90.8945691,2021-04-12,14:26:00,0.5,13.11,0.71,0.14,0,23.56,0.01,2.81,0.05
Terrebonne,TB_0412_S2,Spring 2021,29.38271521,-90.90263,2021-04-12,15:31:00,0.5,15.77,0.13,0.4,0,24.39,0.01,1.25,0.02
Terrebonne,TB_0412_S3,Spring 2021,29.34957579,-90.94683947,2021-04-12,16:20:00,0.5,12.95,0.03,0.22,0,24.61,0,1.75,0.03
Terrebonne,TB_0412_S4,Spring 2021,29.33265947,-90.94859789,2021-04-12,17:02:00,0.5,20.9,1.85,0.44,0,24.39,0,1.77,0.02
Terrebonne,TB_0417_S1,Spring 2021,29.17126,-90.8231,2021-04-17,14:02:00,0.5,26.8,3.86,16.58,0.03,20.67,0,1.37,0.02
Terrebonne,TB_0417_S2,Spring 2021,29.22915,-90.82340667,2021-04-17,15:09:00,0.5,10.45,0.01,7.06,0,20.44,0,1.42,0
Terrebonne,TB_0418_S1,Spring 2021,29.24973795,-91.13079167,2021-04-18,14:24:00,0.5,37.83,0.29,8.62,0.05,19.02,0.03,1.57,0.02
Terrebonne,TB_0418_S3,Spring 2021,29.24484,-91.10730111,2021-04-18,16:17:00,0.5,20.21,0.74,8.06,0.01,18.28,0,1.17,0.11
Terrebonne,TB_0418_S4,Spring 2021,29.22048667,-91.08401,2021-04-18,17:15:00,0.5,27.59,0.09,5.01,0,18.44,0,1.52,0.02
Terrebonne,TB_0418_S5,Spring 2021,29.23255,-91.05569,2021-04-18,17:50:00,0.5,14.57,0.7,12.31,0.07,19.44,0,1.64,0.03
Terrebonne,TB_0418_S6,Spring 2021,29.22257013,-91.030338,2021-04-18,18:17:00,0.5,15.15,0.08,11.4,0.03,19.28,0,1.91,0.03
Terrebonne,TB_0419_S1,Spring 2021,29.16516,-91.035714,2021-04-19,13:45:00,0.5,10.81,0.04,13.2,0,18.69,0.03,0.96,0
Terrebonne,TB_0419_S2,Spring 2021,29.19988107,-91.02898107,2021-04-19,14:34:00,0.5,11.58,0.08,13.45,0.01,18.72,0,1.03,0.02
Terrebonne,TB_0419_S3,Spring 2021,29.21194,-91.06431483,2021-04-19,15:25:00,0.5,31.93,0.57,8.47,0.05,18.11,0,1.77,0.04
Terrebonne,TB_0419_S4,Spring 2021,29.26674436,-91.02684909,2021-04-19,16:17:00,0.5,46.2,1.59,1.29,0.01,18.4,0.02,1.38,0.08
Terrebonne,TB_0419_S5,Spring 2021,29.23817317,-90.99175585,2021-04-19,17:12:00,0.5,34.76,3.64,10.49,0.01,18.51,0.02,1.8,0.12
Terrebonne,TB_0420_S1,Spring 2021,29.35380774,-91.16852656,2021-04-20,13:47:00,0.5,20.68,0.44,0.2,0,19.15,0.03,1.11,0.01
Terrebonne,TB_0420_S2,Spring 2021,29.39269217,-91.21720783,2021-04-20,14:27:00,0.5,22.45,0.38,0.15,0,19.39,0,1.18,0.02
Terrebonne,TB_0420_S3,Spring 2021,29.32194034,-91.19739552,2021-04-20,15:17:00,0.5,36.33,0.7,1.8,0.07,19.39,0.16,0.96,0.06
Terrebonne,TB_0420_S4,Spring 2021,29.307043,-91.150862,2021-04-20,16:00:00,0.5,50.51,2.61,0.32,0,19.51,0.02,1.33,0.02
Terrebonne,TB_0420_S5,Spring 2021,29.26976,-91.17036,2021-04-20,16:27:00,0.5,25.04,0.07,2.08,0,19.78,0,1.52,0.01
Terrebonne,TB_0420_S6,Spring 2021,29.23353284,-91.13704784,2021-04-20,17:04:00,0.5,10.46,0.13,13.34,0.04,20.66,0.03,1.42,0.06
Terrebonne,TB_0421_S1,Spring 2021,28.79129543,-90.571526,2021-04-21,14:25:00,0.5,0.76,0.84,25.65,0.13,20.97,0.05,1.21,0.12
Terrebonne,TB_0421_S2,Spring 2021,29.01425915,-90.58300479,2021-04-21,17:57:00,0.5,1.26,0.46,21.66,0.01,20.89,0.01,1.26,0.07
Terrebonne,TB_0421_S3,Spring 2021,29.11769574,-90.58310721,2021-04-21,19:00:00,0.5,6.56,0.4,20.23,0.1,20.94,0,1.21,0.07
Terrebonne,TB_0421_S4,Spring 2021,29.19026325,-90.61526188,2021-04-21,20:02:00,0.5,29.27,1.4,13.45,0.02,20.89,0,2.15,0.06
Terrebonne,TB_0421_S5,Spring 2021,29.21158617,-90.64491827,2021-04-21,20:45:00,0.5,30.33,0.5,7.43,0.01,21.59,0.03,3.13,0.13
Terrebonne,TB_0421_S6,Spring 2021,29.26492127,-90.69199444,2021-04-21,21:13:00,0.5,22.02,0.28,1.11,0.02,20.9,0.02,1.85,0.01
Terrebonne,TB_0422_S1,Spring 2021,29.17248564,-90.82442513,2021-04-22,14:35:00,0.5,36.06,2.91,10.69,0,18.56,0,3.35,0.06
Terrebonne,TB_0422_S3,Spring 2021,29.111906,-90.88456875,2021-04-22,16:49:00,0.5,29.62,3.26,16.11,0.18,19.08,0.05,3.41,0.23
Terrebonne,TB_0422_S4,Spring 2021,29.23249742,-90.9067147,2021-04-22,18:10:00,0.5,33.45,1.52,7.64,0.32,19.88,0.02,2.99,0.16
Atchafalaya,WLD_0325_S1,Spring 2021,29.685536,-91.37839,2021-03-25,14:43:00,0.5,46.78,2.37,0.13,0,14.5,0,0.7,0
Atchafalaya,WLD_0326_B1,Spring 2021,29.58858667,-91.216635,2021-03-26,16:41:00,0.5,47.89,5.6,0.13,0,15.28,0,0.56,0.09
Atchafalaya,WLD_0326_D2,Spring 2021,29.65742,-91.246935,2021-03-26,15:26:00,0.5,51.17,0.5,0.13,0,15.22,0,0.73,0
Atchafalaya,WLD_0326_D3,Spring 2021,29.59185889,-91.23688333,2021-03-26,16:12:00,0.5,46.54,4.47,0.13,0,15.16,0.02,0.68,0.02
Atchafalaya,WLD_0326_S1,Spring 2021,29.63917,-91.322252,2021-03-26,14:43:00,0.5,37.74,0.3,0.13,0,15.39,0,0.7,0
Atchafalaya,WLD_0326_S2,Spring 2021,29.651046,-91.242539,2021-03-26,15:45:00,0.5,41.9,3.67,0.13,0,15.06,0,0.7,0.01
Atchafalaya,WLD_0326_S3,Spring 2021,29.53124941,-91.23447706,2021-03-26,17:21:00,0.5,23.06,0.22,0.13,0,16.18,0.07,0.72,0.01
Atchafalaya,WLD_0326_S4,Spring 2021,29.48964333,-91.27073333,2021-03-26,17:50:00,0.5,58.98,4.88,0.13,0,15.35,0.03,0.7,0.01
Atchafalaya,WLD_0326_S5,Spring 2021,29.40338436,-91.34475291,2021-03-26,18:41:00,0.5,50.89,4.41,0.13,0,15.89,0,0.71,0.01
Atchafalaya,WLD_0326_S6,Spring 2021,29.38896043,-91.32023786,2021-03-26,19:04:00,0.5,34.86,0.5,0.13,0,16.9,0.02,0.81,0.01
Atchafalaya,WLD_0326_S7,Spring 2021,29.38896712,-91.29215076,2021-03-26,19:39:00,0.5,40.74,1.56,0.13,0,16.88,0.04,0.75,0.02
Atchafalaya,WLD_0327_B1,Spring 2021,29.657735,-91.3894825,2021-03-27,13:41:00,0.5,49.38,0.02,0.14,0,15,0,0.74,0
Atchafalaya,WLD_0327_B2,Spring 2021,29.65123333,-91.40241296,2021-03-27,13:55:00,0.5,46.88,1.35,0.14,0,15,0,0.72,0.02
Atchafalaya,WLD_0327_B3,Spring 2021,29.64199222,-91.39552111,2021-03-27,14:09:00,0.5,47.4,2.03,0.14,0,15.06,0,0.71,0.01
Atchafalaya,WLD_0327_S1,Spring 2021,29.54449071,-91.42782571,2021-03-27,15:50:00,0.5,48.5,3.07,0.14,0,15.24,0.03,0.7,0.01
Atchafalaya,WLD_0327_S2,Spring 2021,29.49601846,-91.44988923,2021-03-27,16:33:00,0.5,50.95,1.12,0.14,0,15.49,0.05,0.71,0.03
Atchafalaya,WLD_0327_S3,Spring 2021,29.51263721,-91.43531,2021-03-27,17:18:00,0.5,49.36,1.88,0.14,0,15.44,0,0.68,0.01
Atchafalaya,WLD_0327_S4,Spring 2021,29.47101472,-91.44032041,2021-03-27,17:43:00,0.5,50.13,2.85,0.14,0,15.7,0.03,0.72,0.02
Atchafalaya,WLD_0327_S5,Spring 2021,29.49388553,-91.43885979,2021-03-27,18:21:00,0.5,50.17,6.26,0.14,0,15.67,0.02,0.7,0.03
Atchafalaya,WLD_0327_S6,Spring 2021,29.49163259,-91.43956685,2021-03-27,19:05:00,0.5,48.25,1.46,0.14,0,15.72,0,0.72,0.02
Atchafalaya,WLD_0329_B2,Spring 2021,29.55856083,-91.3579,2021-03-29,16:20:00,0.5,18.9,0.11,0.14,0,17.61,0,0.73,0.03
Atchafalaya,WLD_0329_S1,Spring 2021,29.56350457,-91.35272743,2021-03-29,14:10:00,0.5,18.13,1.17,0.14,0,17.39,0.19,0.86,0.03
Atchafalaya,WLD_0329_S2,Spring 2021,29.56396833,-91.35435,2021-03-29,14:24:00,0.5,20.91,0.3,0.14,0,16.78,0,0.84,0.01
